run_id,scheduler,workload,repetition,seed,task_id,tenant_id,priority,outcome,submitted_at,dispatched_at,started_at,finished_at,deadline,exec_ms,actual_exec_ms,retry_count,queue_wait_s,latency_s,deadline_missed,worker
example,fifo,multi_tenant,0,1000,quick-000038,B,2,completed,2026-09-08T09:26:38.633306Z,2026-09-08T09:26:38.701Z,2026-09-08T09:26:38.702432Z,2026-09-08T09:26:38.762479Z,2026-09-08T09:26:39.178306Z,60,60,0,0.069126,0.129173,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000042,A,3,completed,2026-09-08T09:26:38.647783Z,2026-09-08T09:26:38.731Z,2026-09-08T09:26:38.731655Z,2026-09-08T09:26:38.779762Z,2026-09-08T09:26:39.064783Z,48,48,0,0.083872,0.131979,false,bench-worker-1-3
example,fifo,multi_tenant,0,1000,quick-000041,A,1,completed,2026-09-08T09:26:38.647782Z,2026-09-08T09:26:38.725Z,2026-09-08T09:26:38.726205Z,2026-09-08T09:26:38.781363Z,2026-09-08T09:26:39.144782Z,55,55,0,0.078423,0.133581,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000043,A,2,completed,2026-09-08T09:26:38.652403Z,2026-09-08T09:26:38.739Z,2026-09-08T09:26:38.739839Z,2026-09-08T09:26:38.781899Z,2026-09-08T09:26:39.106403Z,42,42,0,0.087436,0.129496,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000046,A,2,completed,2026-09-08T09:26:38.662805Z,2026-09-08T09:26:38.747Z,2026-09-08T09:26:38.748548Z,2026-09-08T09:26:38.796596Z,2026-09-08T09:26:39.208805Z,48,48,0,0.085743,0.133791,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000044,A,1,completed,2026-09-08T09:26:38.655194Z,2026-09-08T09:26:38.747Z,2026-09-08T09:26:38.747765Z,2026-09-08T09:26:38.801923Z,2026-09-08T09:26:39.212194Z,54,54,0,0.092571,0.146729,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000045,A,0,completed,2026-09-08T09:26:38.661665Z,2026-09-08T09:26:38.747Z,2026-09-08T09:26:38.747766Z,2026-09-08T09:26:38.806813Z,2026-09-08T09:26:39.337665Z,59,59,0,0.086101,0.145148,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000047,A,3,completed,2026-09-08T09:26:38.669453Z,2026-09-08T09:26:38.758Z,2026-09-08T09:26:38.75909Z,2026-09-08T09:26:38.819167Z,2026-09-08T09:26:39.159453Z,60,60,0,0.089637,0.149714,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000048,A,2,completed,2026-09-08T09:26:38.67912Z,2026-09-08T09:26:38.764Z,2026-09-08T09:26:38.764284Z,2026-09-08T09:26:38.822396Z,2026-09-08T09:26:39.28312Z,58,58,0,0.085164,0.143276,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000051,A,0,completed,2026-09-08T09:26:38.68437Z,2026-09-08T09:26:38.782Z,2026-09-08T09:26:38.783023Z,2026-09-08T09:26:38.83416Z,2026-09-08T09:26:39.24437Z,51,51,0,0.098653,0.149790,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000050,A,4,completed,2026-09-08T09:26:38.683959Z,2026-09-08T09:26:38.781Z,2026-09-08T09:26:38.782417Z,2026-09-08T09:26:38.835485Z,2026-09-08T09:26:39.228959Z,53,53,0,0.098458,0.151526,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000049,A,1,completed,2026-09-08T09:26:38.682535Z,2026-09-08T09:26:38.781Z,2026-09-08T09:26:38.782103Z,2026-09-08T09:26:38.836142Z,2026-09-08T09:26:39.292535Z,54,54,0,0.099568,0.153607,false,bench-worker-1-3
example,fifo,multi_tenant,0,1000,quick-000052,A,1,completed,2026-09-08T09:26:38.689543Z,2026-09-08T09:26:38.797Z,2026-09-08T09:26:38.797891Z,2026-09-08T09:26:38.838953Z,2026-09-08T09:26:39.087543Z,41,41,0,0.108348,0.149410,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000054,A,0,completed,2026-09-08T09:26:38.701671Z,2026-09-08T09:26:38.807Z,2026-09-08T09:26:38.80804Z,2026-09-08T09:26:38.852142Z,2026-09-08T09:26:39.214671Z,44,44,0,0.106369,0.150471,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000053,A,1,completed,2026-09-08T09:26:38.691049Z,2026-09-08T09:26:38.802Z,2026-09-08T09:26:38.802702Z,2026-09-08T09:26:38.857731Z,2026-09-08T09:26:39.216049Z,55,55,0,0.111653,0.166682,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000056,A,0,completed,2026-09-08T09:26:38.713255Z,2026-09-08T09:26:38.823Z,2026-09-08T09:26:38.824232Z,2026-09-08T09:26:38.865488Z,2026-09-08T09:26:39.330255Z,41,41,0,0.110977,0.152233,false,bench-worker-0-2
